ville,Emmanuel Macron,Marine Le Pen
L'Abergement-Clémenciat,60.04,39.96
L'Abergement-de-Varey,62.0,38.0
Ambérieu-en-Bugey,58.89,41.11
Ambérieux-en-Dombes,52.09,47.91
Ambléon,50.85,49.15
Ambronay,56.29,43.71
Ambutrix,60.14,39.86
Andert-et-Condon,67.61,32.39
Anglefort,49.81,50.19
Apremont,48.09,51.91
Aranc,58.73,41.27
Arandas,45.65,54.35
Arbent,67.89,32.11
Arboys en Bugey,68.44,31.56
Arbigny,52.05,47.95
Argis,44.44,55.56
Armix,61.9,38.1
Ars-sur-Formans,56.51,43.49
Artemare,49.82,50.18
Asnières-sur-Saône,43.9,56.1
Attignat,58.64,41.36
Bâgé-la-Ville,58.69,41.31
Bâgé-le-Châtel,66.93,33.07
Balan,49.72,50.28
Baneins,49.53,50.47
Beaupont,46.56,53.44
Beauregard,56.27,43.73
Bellignat,62.71,37.29
Béligneux,52.49,47.51
Bellegarde-sur-Valserine,67.12,32.88
Belley,63.91,36.09
Belleydoux,55.62,44.38
Belmont-Luthézieu,62.5,37.5
Bénonces,53.37,46.63
Bény,63.59,36.41
Béon,59.24,40.76
Béréziat,55.38,44.62
Bettant,54.76,45.24
Bey,67.07,32.93
Beynost,68.43,31.57
Billiat,60.9,39.1
Birieux,41.55,58.45
Biziat,49.89,50.11
Blyes,57.82,42.18
La Boisse,59.63,40.37
Boissey,41.38,58.62
Bolozon,52.31,47.69
Bouligneux,54.3,45.7
Bourg-en-Bresse,72.37,27.63
Bourg-Saint-Christophe,54.83,45.17
Boyeux-Saint-Jérôme,51.1,48.9
Boz,42.96,57.04
Brégnier-Cordon,53.86,46.14
Brénaz,58.93,41.07
Brénod,56.31,43.69
Brens,56.77,43.23
Bressolles,65.85,34.15
Brion,58.62,41.38
Briord,38.62,61.38
Buellas,65.48,34.52
La Burbanche,45.1,54.9
Ceignes,59.85,40.15
Cerdon,43.24,56.76
Certines,56.1,43.9
Cessy,73.41,26.59
Ceyzériat,65.61,34.39
Ceyzérieu,58.78,41.22
Chalamont,50.61,49.39
Chaleins,53.14,46.86
Chaley,65.52,34.48
Challes-la-Montagne,42.86,57.14
Challex,73.78,26.22
Champagne-en-Valromey,66.31,33.69
Champdor-Corcelles,58.65,41.35
Champfromier,56.25,43.75
Chanay,51.75,48.25
Chaneins,45.45,54.55
Chanoz-Châtenay,50.35,49.65
