lien,Emmanuel Macron,Marine Le Pen
https://www.journaldunet.com/management/ville/villesequelande/ville-11437,34.36,65.64
https://www.journaldunet.com/management/ville/luzeret/ville-36106,47.22,52.78
https://www.journaldunet.com/management/ville/vieux-conde/ville-59616,32.71,67.29
https://www.journaldunet.com/management/ville/vern-sur-seiche/ville-35352,78.75,21.25
https://www.journaldunet.com/management/ville/morionvilliers/ville-52342,20.0,80.0
https://www.journaldunet.com/management/ville/andryes/ville-89007,51.61,48.39
https://www.journaldunet.com/management/ville/sannes/ville-84121,48.2,51.8
https://www.journaldunet.com/management/ville/fouronnes/ville-89182,44.87,55.13
https://www.journaldunet.com/management/ville/izeure/ville-21319,44.7,55.3
https://www.journaldunet.com/management/ville/neret/ville-36138,49.6,50.4
https://www.journaldunet.com/management/ville/trescault/ville-62830,33.04,66.96
https://www.journaldunet.com/management/ville/ambert/ville-63003,55.1,44.9
https://www.journaldunet.com/management/ville/houdan/ville-78310,62.55,37.45
https://www.journaldunet.com/management/ville/moulis-en-medoc/ville-33297,47.15,52.85
https://www.journaldunet.com/management/ville/saint-floxel/ville-50467,57.4,42.6
https://www.journaldunet.com/management/ville/vergne/ville-17464,62.34,37.66
https://www.journaldunet.com/management/ville/vitry-sur-orne/ville-57724,46.1,53.9
https://www.journaldunet.com/management/ville/lamorlaye/ville-60346,59.68,40.32
https://www.journaldunet.com/management/ville/le-fay/ville-71196,30.68,69.32
https://www.journaldunet.com/management/ville/le-nayrac/ville-12172,61.33,38.67
https://www.journaldunet.com/management/ville/audincourt/ville-25031,54.04,45.96
https://www.journaldunet.com/management/ville/estrees-la-campagne/ville-14252,55.73,44.27
https://www.journaldunet.com/management/ville/ville-le-marclet/ville-80795,39.47,60.53
https://www.journaldunet.com/management/ville/gaujac/ville-32140,48.39,51.61
https://www.journaldunet.com/management/ville/vendegies-au-bois/ville-59607,42.76,57.24
https://www.journaldunet.com/management/ville/saint-felix-de-tournegat/ville-09259,50.0,50.0
https://www.journaldunet.com/management/ville/guillac/ville-56079,54.42,45.58
https://www.journaldunet.com/management/ville/couloisy/ville-60167,35.56,64.44
https://www.journaldunet.com/management/ville/monceau-le-waast/ville-02493,35.71,64.29
https://www.journaldunet.com/management/ville/penne-d-agenais/ville-47203,50.42,49.58
https://www.journaldunet.com/management/ville/saint-illide/ville-15191,49.62,50.38
https://www.journaldunet.com/management/ville/jonage/ville-69279,55.19,44.81
https://www.journaldunet.com/management/ville/seltz/ville-67463,42.47,57.53
https://www.journaldunet.com/management/ville/cornimont/ville-88116,51.37,48.63
https://www.journaldunet.com/management/ville/saint-germain-les-buxy/ville-71422,59.32,40.68
https://www.journaldunet.com/management/ville/mouflaines/ville-27420,33.91,66.09
https://www.journaldunet.com/management/ville/warlus/ville-80821,44.62,55.38
https://www.journaldunet.com/management/ville/losse/ville-40158,46.59,53.41
https://www.journaldunet.com/management/ville/mondescourt/ville-60410,30.28,69.72
https://www.journaldunet.com/management/ville/ballans/ville-17031,44.63,55.37
https://www.journaldunet.com/management/ville/collonge-en-charollais/ville-71139,46.39,53.61
https://www.journaldunet.com/management/ville/sainte-marguerite-lafigere/ville-07266,50.0,50.0
https://www.journaldunet.com/management/ville/eletot/ville-76232,38.08,61.92
https://www.journaldunet.com/management/ville/thesy/ville-39529,35.14,64.86
https://www.journaldunet.com/management/ville/le-villey/ville-39575,41.07,58.93
https://www.journaldunet.com/management/ville/vers-sur-selle/ville-80791,64.31,35.69
https://www.journaldunet.com/management/ville/vieilmoulin/ville-21679,51.02,48.98
https://www.journaldunet.com/management/ville/frenelle-la-grande/ville-88185,38.1,61.9
https://www.journaldunet.com/management/ville/crossac/ville-44050,52.88,47.12
https://www.journaldunet.com/management/ville/sales/ville-74255,53.55,46.45
https://www.journaldunet.com/management/ville/pietrosella/ville-2A228,53.87,46.13
https://www.journaldunet.com/management/ville/le-tilleul-lambert/ville-27641,39.58,60.42
https://www.journaldunet.com/management/ville/la-jarne/ville-17193,65.46,34.54
https://www.journaldunet.com/management/ville/preixan/ville-11299,41.74,58.26
https://www.journaldunet.com/management/ville/vaivre-et-montoille/ville-70513,52.26,47.74
https://www.journaldunet.com/management/ville/montmain/ville-76448,58.77,41.23
https://www.journaldunet.com/management/ville/ormoy/ville-70399,38.28,61.72
https://www.journaldunet.com/management/ville/tourouvre-au-perche/ville-61491,47.15,52.85
https://www.journaldunet.com/management/ville/galargues/ville-34110,50.56,49.44
https://www.journaldunet.com/management/ville/montferrier/ville-09206,42.46,57.54
https://www.journaldunet.com/management/ville/beaulieu-sur-loire/ville-45029,40.43,59.57
https://www.journaldunet.com/management/ville/sainte-radegonde/ville-12241,66.58,33.42
https://www.journaldunet.com/management/ville/plan-de-baix/ville-26240,57.52,42.48
https://www.journaldunet.com/management/ville/chaudeney-sur-moselle/ville-54122,44.5,55.5
https://www.journaldunet.com/management/ville/baincthun/ville-62075,57.36,42.64
https://www.journaldunet.com/management/ville/la-chapelle-fortin/ville-28077,37.27,62.73
https://www.journaldunet.com/management/ville/gergny/ville-02342,37.31,62.69
https://www.journaldunet.com/management/ville/lavilleneuve-au-roi/ville-52278,47.17,52.83
https://www.journaldunet.com/management/ville/ambernac/ville-16009,53.76,46.24
https://www.journaldunet.com/management/ville/crainvilliers/ville-88119,26.21,73.79
https://www.journaldunet.com/management/ville/holtzheim/ville-67212,58.21,41.79
https://www.journaldunet.com/management/ville/paissy/ville-02582,43.14,56.86
https://www.journaldunet.com/management/ville/lopigna/ville-2A144,36.36,63.64
https://www.journaldunet.com/management/ville/mouaville/ville-54389,29.51,70.49
https://www.journaldunet.com/management/ville/saint-germain/ville-54475,47.66,52.34
https://www.journaldunet.com/management/ville/les-magnils-reigniers/ville-85131,49.26,50.74
https://www.journaldunet.com/management/ville/la-tour/ville-74284,50.91,49.09
https://www.journaldunet.com/management/ville/dannemoine/ville-89137,47.58,52.42
https://www.journaldunet.com/management/ville/grougis/ville-02358,30.3,69.7
https://www.journaldunet.com/management/ville/pont-de-veyle/ville-01306,46.55,53.45
https://www.journaldunet.com/management/ville/caillavet/ville-32071,52.78,47.22
https://www.journaldunet.com/management/ville/saint-martin-sepert/ville-19223,51.23,48.77
https://www.journaldunet.com/management/ville/montazeau/ville-24288,52.91,47.09
https://www.journaldunet.com/management/ville/roche-en-regnier/ville-43164,46.04,53.96
https://www.journaldunet.com/management/ville/bouee/ville-44019,55.75,44.25
https://www.journaldunet.com/management/ville/yaucourt-bussus/ville-80830,47.06,52.94
https://www.journaldunet.com/management/ville/aregno/ville-2B020,54.31,45.69
https://www.journaldunet.com/management/ville/barlieu/ville-18022,37.04,62.96
https://www.journaldunet.com/management/ville/monce-en-belin/ville-72200,53.37,46.63
https://www.journaldunet.com/management/ville/verdenal/ville-54562,32.91,67.09
https://www.journaldunet.com/management/ville/bosselshausen/ville-67057,55.12,44.88
https://www.journaldunet.com/management/ville/monthenault/ville-02508,48.78,51.22
https://www.journaldunet.com/management/ville/dun-le-poelier/ville-36068,39.75,60.25
https://www.journaldunet.com/management/ville/les-sauvages/ville-69174,52.31,47.69
https://www.journaldunet.com/management/ville/bonneville-sur-touques/ville-14086,57.36,42.64
https://www.journaldunet.com/management/ville/unienville/ville-10389,51.76,48.24
https://www.journaldunet.com/management/ville/monthelon/ville-51378,46.19,53.81
https://www.journaldunet.com/management/ville/courniou/ville-34086,41.83,58.17
https://www.journaldunet.com/management/ville/chepniers/ville-17099,41.45,58.55
https://www.journaldunet.com/management/ville/mireval-lauragais/ville-11234,59.46,40.54
https://www.journaldunet.com/management/ville/pays-de-clerval/ville-25156,39.75,60.25
https://www.journaldunet.com/management/ville/blennes/ville-77035,38.84,61.16
https://www.journaldunet.com/management/ville/le-pouzin/ville-07181,43.56,56.44
https://www.journaldunet.com/management/ville/izieu/ville-01193,48.55,51.45
https://www.journaldunet.com/management/ville/bellegarde-poussieu/ville-38037,48.03,51.97
https://www.journaldunet.com/management/ville/bachy/ville-59042,63.86,36.14
https://www.journaldunet.com/management/ville/roques/ville-31458,58.11,41.89
https://www.journaldunet.com/management/ville/fermanville/ville-50178,62.44,37.56
https://www.journaldunet.com/management/ville/francourville/ville-28160,42.97,57.03
