insee,nom,cp,lien
64001,Aast (64460),64460,https://www.journaldunet.com/management/ville/aast/ville-64001
55001,Abainville (55130),55130,https://www.journaldunet.com/management/ville/abainville/ville-55001
59001,Abancourt (59268),59268,https://www.journaldunet.com/management/ville/abancourt/ville-59001
60001,Abancourt (60220),60220,https://www.journaldunet.com/management/ville/abancourt/ville-60001
54001,Abaucourt (54610),54610,https://www.journaldunet.com/management/ville/abaucourt/ville-54001
55002,Abaucourt-Hautecourt (55400),55400,https://www.journaldunet.com/management/ville/abaucourt-hautecourt/ville-55002
25001,Abbans-Dessous (25320),25320,https://www.journaldunet.com/management/ville/abbans-dessous/ville-25001
25002,Abbans-Dessus (25440),25440,https://www.journaldunet.com/management/ville/abbans-dessus/ville-25002
44001,Abbaretz (44170),44170,https://www.journaldunet.com/management/ville/abbaretz/ville-44001
02001,Abbécourt (02300),02300,https://www.journaldunet.com/management/ville/abbecourt/ville-02001
60002,Abbecourt (60430),60430,https://www.journaldunet.com/management/ville/abbecourt/ville-60002
25003,Abbenans (25340),25340,https://www.journaldunet.com/management/ville/abbenans/ville-25003
80001,Abbeville (80100),80100,https://www.journaldunet.com/management/ville/abbeville/ville-80001
91001,Abbéville-la-Rivière (91150),91150,https://www.journaldunet.com/management/ville/abbeville-la-riviere/ville-91001
54002,Abbéville-lès-Conflans (54800),54800,https://www.journaldunet.com/management/ville/abbeville-les-conflans/ville-54002
60003,Abbeville-Saint-Lucien (60480),60480,https://www.journaldunet.com/management/ville/abbeville-saint-lucien/ville-60003
25004,Abbévillers (25310),25310,https://www.journaldunet.com/management/ville/abbevillers/ville-25004
34001,Abeilhan (34290),34290,https://www.journaldunet.com/management/ville/abeilhan/ville-34001
70001,Abelcourt (70300),70300,https://www.journaldunet.com/management/ville/abelcourt/ville-70001
64002,Abère (64160),64160,https://www.journaldunet.com/management/ville/abere/ville-64002
39001,Abergement-la-Ronce (39500),39500,https://www.journaldunet.com/management/ville/abergement-la-ronce/ville-39001
39002,Abergement-le-Grand (39600),39600,https://www.journaldunet.com/management/ville/abergement-le-grand/ville-39002
39003,Abergement-le-Petit (39800),39800,https://www.journaldunet.com/management/ville/abergement-le-petit/ville-39003
39004,Abergement-lès-Thésy (39110),39110,https://www.journaldunet.com/management/ville/abergement-les-thesy/ville-39004
64003,Abidos (64150),64150,https://www.journaldunet.com/management/ville/abidos/ville-64003
37001,Abilly (37160),37160,https://www.journaldunet.com/management/ville/abilly/ville-37001
64004,Abitain (64390),64390,https://www.journaldunet.com/management/ville/abitain/ville-64004
24001,Abjat-sur-Bandiat (24300),24300,https://www.journaldunet.com/management/ville/abjat-sur-bandiat/ville-24001
62001,Ablain-Saint-Nazaire (62153),62153,https://www.journaldunet.com/management/ville/ablain-saint-nazaire/ville-62001
80002,Ablaincourt-Pressoir (80320),80320,https://www.journaldunet.com/management/ville/ablaincourt-pressoir/ville-80002
62002,Ablainzevelle (62116),62116,https://www.journaldunet.com/management/ville/ablainzevelle/ville-62002
51001,Ablancourt (51240),51240,https://www.journaldunet.com/management/ville/ablancourt/ville-51001
95002,Ableiges (95450),95450,https://www.journaldunet.com/management/ville/ableiges/ville-95002
78003,Ablis (78660),78660,https://www.journaldunet.com/management/ville/ablis/ville-78003
14001,Ablon (14600),14600,https://www.journaldunet.com/management/ville/ablon/ville-14001
94001,Ablon-sur-Seine (94480),94480,https://www.journaldunet.com/management/ville/ablon-sur-seine/ville-94001
42001,Aboën (42380),42380,https://www.journaldunet.com/management/ville/aboen/ville-42001
54003,Aboncourt (54115),54115,https://www.journaldunet.com/management/ville/aboncourt/ville-54003
57001,Aboncourt (57920),57920,https://www.journaldunet.com/management/ville/aboncourt/ville-57001
70002,Aboncourt-Gesincourt (70500),70500,https://www.journaldunet.com/management/ville/aboncourt-gesincourt/ville-70002
57002,Aboncourt-sur-Seille (57590),57590,https://www.journaldunet.com/management/ville/aboncourt-sur-seille/ville-57002
74001,Abondance (74360),74360,https://www.journaldunet.com/management/ville/abondance/ville-74001
28001,Abondant (28410),28410,https://www.journaldunet.com/management/ville/abondant/ville-28001
64005,Abos (64360),64360,https://www.journaldunet.com/management/ville/abos/ville-64005
57003,Abreschviller (57560),57560,https://www.journaldunet.com/management/ville/abreschviller/ville-57003
03001,Abrest (03200),03200,https://www.journaldunet.com/management/ville/abrest/ville-03001
05001,Abriès-Ristolas (05460),05460,https://www.journaldunet.com/management/ville/abries-ristolas/ville-05001
59002,Abscon (59215),59215,https://www.journaldunet.com/management/ville/abscon/ville-59002
16001,Abzac (16500),16500,https://www.journaldunet.com/management/ville/abzac/ville-16001
33001,Abzac (33230),33230,https://www.journaldunet.com/management/ville/abzac/ville-33001
25005,Accolans (25250),25250,https://www.journaldunet.com/management/ville/accolans/ville-25005
07001,Accons (07160),07160,https://www.journaldunet.com/management/ville/accons/ville-07001
64006,Accous (64490),64490,https://www.journaldunet.com/management/ville/accous/ville-64006
57004,Achain (57340),57340,https://www.journaldunet.com/management/ville/achain/ville-57004
57006,Achen (57412),57412,https://www.journaldunet.com/management/ville/achen/ville-57006
67001,Achenheim (67204),67204,https://www.journaldunet.com/management/ville/achenheim/ville-67001
18001,Achères (18250),18250,https://www.journaldunet.com/management/ville/acheres/ville-18001
78005,Achères (78260),78260,https://www.journaldunet.com/management/ville/acheres/ville-78005
77001,Achères-la-Forêt (77760),77760,https://www.journaldunet.com/management/ville/acheres-la-foret/ville-77001
02002,Achery (02800),02800,https://www.journaldunet.com/management/ville/achery/ville-02002
80003,Acheux-en-Amiénois (80560),80560,https://www.journaldunet.com/management/ville/acheux-en-amienois/ville-80003
80004,Acheux-en-Vimeu (80210),80210,https://www.journaldunet.com/management/ville/acheux-en-vimeu/ville-80004
62003,Acheville (62320),62320,https://www.journaldunet.com/management/ville/acheville/ville-62003
70003,Achey (70180),70180,https://www.journaldunet.com/management/ville/achey/ville-70003
62004,Achicourt (62217),62217,https://www.journaldunet.com/management/ville/achicourt/ville-62004
62005,Achiet-le-Grand (62121),62121,https://www.journaldunet.com/management/ville/achiet-le-grand/ville-62005
62006,Achiet-le-Petit (62121),62121,https://www.journaldunet.com/management/ville/achiet-le-petit/ville-62006
58001,Achun (58110),58110,https://www.journaldunet.com/management/ville/achun/ville-58001
60004,Achy (60690),60690,https://www.journaldunet.com/management/ville/achy/ville-60004
35001,Acigné (35690),35690,https://www.journaldunet.com/management/ville/acigne/ville-35001
27001,Aclou (27800),27800,https://www.journaldunet.com/management/ville/aclou/ville-27001
27002,Acon (27570),27570,https://www.journaldunet.com/management/ville/acon/ville-27002
97601,Acoua (97630),97630,https://www.journaldunet.com/management/ville/acoua/ville-97601
62007,Acq (62144),62144,https://www.journaldunet.com/management/ville/acq/ville-62007
27003,Acquigny (27400),27400,https://www.journaldunet.com/management/ville/acquigny/ville-27003
62008,Acquin-Westbécourt (62380),62380,https://www.journaldunet.com/management/ville/acquin-westbecourt/ville-62008
02003,Acy (02200),02200,https://www.journaldunet.com/management/ville/acy/ville-02003
60005,Acy-en-Multien (60620),60620,https://www.journaldunet.com/management/ville/acy-en-multien/ville-60005
08001,Acy-Romance (08300),08300,https://www.journaldunet.com/management/ville/acy-romance/ville-08001
57007,Adaincourt (57580),57580,https://www.journaldunet.com/management/ville/adaincourt/ville-57007
78006,Adainville (78113),78113,https://www.journaldunet.com/management/ville/adainville/ville-78006
25006,Adam-lès-Passavant (25360),25360,https://www.journaldunet.com/management/ville/adam-les-passavant/ville-25006
25007,Adam-lès-Vercel (25530),25530,https://www.journaldunet.com/management/ville/adam-les-vercel/ville-25007
67002,Adamswiller (67320),67320,https://www.journaldunet.com/management/ville/adamswiller/ville-67002
65001,Adast (65260),65260,https://www.journaldunet.com/management/ville/adast/ville-65001
65002,Adé (65100),65100,https://www.journaldunet.com/management/ville/ade/ville-65002
57008,Adelange (57380),57380,https://www.journaldunet.com/management/ville/adelange/ville-57008
70004,Adelans-et-le-Val-de-Bithaine (70200),70200,https://www.journaldunet.com/management/ville/adelans-et-le-val-de-bithaine/ville-70004
65003,Adervielle-Pouchergues (65240),65240,https://www.journaldunet.com/management/ville/adervielle-pouchergues/ville-65003
79002,Adilly (79200),79200,https://www.journaldunet.com/management/ville/adilly/ville-79002
62009,Adinfer (62116),62116,https://www.journaldunet.com/management/ville/adinfer/ville-62009
34002,Adissan (34230),34230,https://www.journaldunet.com/management/ville/adissan/ville-34002
45001,Adon (45230),45230,https://www.journaldunet.com/management/ville/adon/ville-45001
86001,Adriers (86430),86430,https://www.journaldunet.com/management/ville/adriers/ville-86001
2A001,Afa (20167),20167,https://www.journaldunet.com/management/ville/afa/ville-2A001
19001,Affieux (19260),19260,https://www.journaldunet.com/management/ville/affieux/ville-19001
54004,Affléville (54800),54800,https://www.journaldunet.com/management/ville/affleville/ville-54004
69001,Affoux (69170),69170,https://www.journaldunet.com/management/ville/affoux/ville-69001
54005,Affracourt (54740),54740,https://www.journaldunet.com/management/ville/affracourt/ville-54005
62010,Affringues (62380),62380,https://www.journaldunet.com/management/ville/affringues/ville-62010
31001,Agassac (31230),31230,https://www.journaldunet.com/management/ville/agassac/ville-31001
34003,Agde (34300),34300,https://www.journaldunet.com/management/ville/agde/ville-34003
34004,Agel (34210),34210,https://www.journaldunet.com/management/ville/agel/ville-34004
47001,Agen (47000),47000,https://www.journaldunet.com/management/ville/agen/ville-47001
12001,Agen-d'Aveyron (12630),12630,https://www.journaldunet.com/management/ville/agen-d-aveyron/ville-12001
21001,Agencourt (21700),21700,https://www.journaldunet.com/management/ville/agencourt/ville-21001
80005,Agenville (80370),80370,https://www.journaldunet.com/management/ville/agenville/ville-80005
80006,Agenvillers (80150),80150,https://www.journaldunet.com/management/ville/agenvillers/ville-80006
52001,Ageville (52340),52340,https://www.journaldunet.com/management/ville/ageville/ville-52001
21002,Agey (21410),21410,https://www.journaldunet.com/management/ville/agey/ville-21002
2B002,Aghione (20270),20270,https://www.journaldunet.com/management/ville/aghione/ville-2B002
54006,Agincourt (54770),54770,https://www.journaldunet.com/management/ville/agincourt/ville-54006
47002,Agmé (47350),47350,https://www.journaldunet.com/management/ville/agme/ville-47002
47003,Agnac (47800),47800,https://www.journaldunet.com/management/ville/agnac/ville-47003
43001,Agnat (43100),43100,https://www.journaldunet.com/management/ville/agnat/ville-43001
50002,Agneaux (50180),50180,https://www.journaldunet.com/management/ville/agneaux/ville-50002
60007,Agnetz (60600),60600,https://www.journaldunet.com/management/ville/agnetz/ville-60007
62011,Agnez-lès-Duisans (62161),62161,https://www.journaldunet.com/management/ville/agnez-les-duisans/ville-62011
02004,Agnicourt-et-Séchelles (02340),02340,https://www.journaldunet.com/management/ville/agnicourt-et-sechelles/ville-02004
62012,Agnières (62690),62690,https://www.journaldunet.com/management/ville/agnieres/ville-62012
38003,Agnin (38150),38150,https://www.journaldunet.com/management/ville/agnin/ville-38003
64007,Agnos (64400),64400,https://www.journaldunet.com/management/ville/agnos/ville-64007
62013,Agny (62217),62217,https://www.journaldunet.com/management/ville/agny/ville-62013
50003,Agon-Coutainville (50230),50230,https://www.journaldunet.com/management/ville/agon-coutainville/ville-50003
24002,Agonac (24460),24460,https://www.journaldunet.com/management/ville/agonac/ville-24002
34005,Agonès (34190),34190,https://www.journaldunet.com/management/ville/agones/ville-34005
